,caseName,edp
0,spechmmer,0.086284526551104
1,spechmmer_1,0.11151291631814399
2,spechmmer_2,0.09218670669010799
3,spechmmer_3,0.094805101335472
4,spechmmer_4,0.048921104238048005
5,spechmmer_5,0.110565021400335
6,spechmmer_6,0.070850057734404
7,spechmmer_7,0.076912788459642
8,spechmmer_8,0.08733025320125999
9,spechmmer_9,0.08782298447429998
10,spechmmer_10,0.08748540951686999
11,spechmmer_11,0.08748686843221999
12,spechmmer_12,0.05946139094368
13,spechmmer_13,0.10655645100839999
14,spechmmer_14,0.21030334452599997
15,spechmmer_15,0.14722215689710363
16,spechmmer_opt,0.15074697438722998
