caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage,cpuPeakPower
specbzip_7,6.38891,2.18571,0.374179,0.846024,0.00480872,3.84194
specbzip_4,4.59384,1.47789,0.0816756,0.696764,0.0036123,2.98366
specbzip_11,7.22483,1.95501,0.32024,1.098,0.00726281,3.86503
specbzip_2,7.98819,2.28119,0.292262,1.17653,0.00798406,4.2711
specbzip_3,8.8343,2.59246,0.292232,1.2204,0.00831435,4.62657
specbzip_opt,15.416,7.14073,1.00795,1.50082,0.00914234,10.6572
specbzip_13,11.0402,5.36286,0.551342,1.18338,0.00728232,9.22886
specbzip_5,9.87973,2.16638,0.389931,1.38119,0.00969175,4.36266
specbzip_1,9.61665,2.54945,0.292222,1.49924,0.0109133,4.865
specbzip_10,7.22483,1.95501,0.31889,1.098,0.00726281,3.86492
specbzip_6,6.08826,1.96246,0.292362,0.825522,0.0046475,3.59803
specbzip_12,5.13381,0.917255,0.145901,0.793678,0.00471982,2.22593
specbzip_9,7.22483,1.95501,0.327006,1.098,0.00726281,3.99078
specbzip,7.22483,1.95501,0.32016,1.098,0.00726281,3.86567
specbzip_8,7.22483,1.95501,0.311412,1.098,0.00726281,3.75956
specbzip_15,11.4319,2.30522,0.510223,1.60905,0.0113189,4.73098
specbzip_14,26.8722,17.4431,0.953437,2.38722,0.0150925,27.2066
