caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage
speclibm_10,7.69091,0.53917,0.0121374,0.00465773,0.000566123
speclibm_4,7.0038,0.539842,0.0122744,0.00472789,0.000571604
speclibm_8,4.1658,0.435844,0.00983803,0.00278925,0.000397114
speclibm_7,7.0038,0.539842,0.0122702,0.00472789,0.000571604
speclibm_12,6.37949,0.245143,0.0075993,0.00445064,0.000433207
speclibm_11,7.68591,0.539259,0.0121577,0.0046776,0.000568258
speclibm_15,7.0038,0.539842,0.0122452,0.00472789,0.000571604
speclibm_6,7.0038,0.539842,0.0122702,0.00472789,0.000571604
speclibm_3,7.0038,0.539842,0.0122694,0.00472789,0.000571604
speclibm_opt,83.7665,7.72419,0.0763979,0.0426703,0.00936352
speclibm_13,38.4333,2.39516,0.0380414,0.0163995,0.00351474
speclibm_14,63.5151,7.05878,0.0681046,0.0342731,0.0079159
speclibm_5,7.0038,0.539842,0.0122618,0.00472789,0.000571604
speclibm_2,7.0038,0.539842,0.0122695,0.00472789,0.000571604
speclibm_9,13.3224,0.660042,0.0150467,0.00910636,0.00110378
speclibm_1,7.0038,0.539842,0.0122692,0.00472789,0.000571604
